%%% BEGIN: Matrix M1 (50,10) %%%
2,3,2,2,2,3,C1,2,2,2
A1,2,2,3,2,A1,2,2,2,3
2,3,B1,A2,3,3,2,A2,2,3
2,2,A3,A3,3,3,2,3,3,3
3,2,2,A4,A4,2,C2,B2,2,2
3,3,2,2,2,2,A5,3,3,C3
2,2,3,2,2,2,2,A6,3,3
2,2,A7,2,2,2,2,3,3,2
2,3,A8,2,2,2,A8,2,2,C4
A9,3,2,A9,2,C5,2,A9,2,3
2,C6,3,2,2,2,3,2,D1,A10
2,3,3,3,2,B3,3,2,3,3
2,A11,C7,2,2,3,B4,2,3,A11
2,B5,2,3,3,2,3,2,2,2
A12,3,A12,A12,2,A12,2,2,3,2
2,A13,2,3,2,A13,3,2,2,3
2,2,2,3,2,3,A14,3,2,2
2,C8,2,C8,D2,3,2,3,B6,3
2,3,3,A15,2,2,3,A15,A15,2
3,A16,A16,3,3,2,A16,2,2,2
2,3,3,2,3,3,2,A17,3,3
A18,2,A18,3,2,3,2,2,2,3
2,3,3,2,2,A19,A19,2,3,2
3,2,2,3,3,2,3,3,2,C9
A20,C10,2,2,2,2,2,2,2,2
2,2,2,3,A21,2,2,A21,3,A21
B7,2,3,2,A22,3,B7,3,2,3
3,3,3,2,A23,2,A23,3,2,3
3,2,2,A24,2,2,3,B8,2,2
3,2,2,3,2,C11,2,3,3,A25
2,A26,2,2,A26,A26,2,A26,3,3
2,3,2,3,A27,C12,2,3,3,2
3,3,B9,2,2,B9,B9,2,B9,3
3,2,B10,2,C13,3,A28,3,2,2
2,2,2,2,3,3,3,2,2,2
2,A29,3,B11,3,2,3,A29,2,2
A30,3,A30,2,A30,2,2,2,2,A30
2,A31,2,2,2,2,2,2,3,A31
A32,2,3,2,2,B12,3,2,A32,2
2,A33,3,3,2,2,B13,3,2,2
3,3,2,A34,2,3,3,3,3,3
A35,B14,2,2,A35,A35,C14,2,2,2
D3,3,B15,A36,2,2,2,2,B15,2
2,3,B16,A37,3,A37,2,2,A37,2
2,A38,A38,A38,2,2,2,2,2,A38
A39,B17,A39,2,A39,2,A39,D4,2,3
2,3,B18,3,A40,2,3,2,3,3
2,2,A41,B19,A41,A41,3,B19,3,2
2,A42,A42,2,3,3,A42,A42,2,2
3,2,C15,2,3,A43,3,3,3,2
%%% END: Matrix M1 %%%
